,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0,211160,0,0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop
4,200560,0,0.614,0.928,-4.806,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
6,284200,1,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip hop
10,238759,0,0.617,0.728,-7.932,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
11,268863,0,0.745,0.958,-9.664,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
12,306333,0,0.822,0.922,-5.798,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
16,245400,0,0.761,0.716,-5.8,0.056,0.396,0.0,0.0771,0.649,119.41,pop
17,214883,0,0.671,0.88,-6.149,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
18,285426,0,0.74,0.876,-6.87,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
19,161506,1,0.922,0.909,-2.429,0.27,0.0281,0.0,0.0856,0.309,95.295,hip hop
22,240866,0,0.634,0.677,-7.278,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
23,244466,1,0.656,0.88,-5.425,0.143,0.0421,0.0,0.294,0.758,85.565,hip hop
32,225973,0,0.736,0.802,-8.527,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
34,243533,0,0.633,0.922,-4.842,0.0454,0.116,0.000465,0.071,0.686,84.11,pop
37,283066,1,0.88,0.814,-6.307,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop
43,222293,1,0.924,0.74,-1.299,0.0774,0.0827,0.0,0.163,0.621,133.974,hip hop
45,234960,0,0.63,0.625,-5.088,0.0252,0.231,0.0,0.0765,0.683,167.998,pop
46,201946,0,0.729,0.632,-8.75,0.0279,0.191,0.0,0.166,0.774,109.981,pop
54,227866,1,0.8,0.922,-5.125,0.24,0.301,9.31e-06,0.0352,0.801,98.631,hip hop
61,298960,0,0.742,0.732,-6.046,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
64,273706,0,0.599,0.47,-8.356,0.0376,0.38,0.0,0.111,0.298,127.177,pop
65,273533,0,0.631,0.734,-7.48,0.036,0.348,0.0,0.135,0.591,124.036,pop
71,202800,0,0.822,0.847,-6.729,0.0917,0.0854,0.0,0.0452,0.668,107.908,pop
72,214819,0,0.751,0.901,-5.802,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
76,241373,0,0.634,0.886,-5.424,0.0434,0.154,0.0,0.118,0.577,93.04,pop
82,281466,0,0.581,0.607,-8.458,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop
83,231760,0,0.491,0.593,-5.975,0.0255,0.098,0.0,0.257,0.328,144.142,pop
84,268746,0,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
86,191040,0,0.644,0.874,-4.666,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop
91,230093,0,0.575,0.786,-4.353,0.0296,0.252,0.0,0.159,0.518,96.102,pop
96,203333,0,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop
98,206226,0,0.765,0.791,-5.707,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
102,404106,1,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip hop
104,264893,0,0.76,0.801,-3.769,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,pop
108,259933,0,0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,pop
109,254640,0,0.637,0.929,-6.03,0.0447,0.063,0.00796,0.318,0.604,136.482,pop
111,203600,0,0.847,0.843,-3.579,0.106,0.415,0.000134,0.107,0.963,110.027,pop
117,220973,0,0.643,0.981,-6.644,0.0439,0.0271,8.93e-05,0.11,0.38,140.01,pop
119,241000,0,0.668,0.772,-5.4,0.0307,0.123,0.0,0.341,0.911,118.011,pop
121,223546,0,0.721,0.737,-2.734,0.0324,0.121,0.0,0.165,0.931,97.996,pop
133,218360,0,0.725,0.583,-9.942,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop
141,340920,1,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,hip hop
142,266506,1,0.757,0.706,-6.665,0.203,0.0267,0.0,0.197,0.375,96.976,hip hop
146,295400,0,0.878,0.724,-5.373,0.129,0.168,0.0116,0.133,0.904,121.906,pop
149,218626,0,0.631,0.821,-7.853,0.0867,0.00876,0.000247,0.293,0.547,118.007,pop
155,280973,0,0.699,0.618,-7.338,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop
156,207560,0,0.582,0.707,-4.487,0.0319,0.0822,0.0,0.0467,0.701,78.375,pop
157,195506,0,0.578,0.581,-6.867,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
159,197760,1,0.802,0.341,-8.56,0.488,0.169,0.0,0.0783,0.849,166.01,hip hop
160,233626,0,0.822,0.672,-6.133,0.0329,0.0285,0.0,0.213,0.91,117.033,pop
166,201533,0,0.585,0.702,-5.734,0.0325,0.538,0.0,0.216,0.51,139.909,pop
174,162333,0,0.836,0.762,-5.044,0.0598,0.0826,5.48e-05,0.102,0.941,133.592,pop
177,185013,0,0.747,0.706,-4.653,0.0413,0.0844,0.00355,0.174,0.567,94.019,pop
191,240626,1,0.618,0.844,-4.051,0.342,0.0178,0.000126,0.0634,0.697,84.411,hip hop
198,292000,0,0.699,0.403,-8.564,0.0614,0.421,0.0,0.126,0.5,113.922,pop
201,290320,1,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,hip hop
202,244506,0,0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,pop
204,208600,0,0.558,0.719,-5.113,0.0267,0.0367,0.0,0.115,0.371,112.027,pop
209,297786,1,0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,hip hop
212,276360,0,0.792,0.797,-5.166,0.0901,0.062,0.00325,0.0896,0.491,123.993,pop
214,244466,0,0.583,0.643,-7.486,0.355,0.171,0.0,0.0395,0.7,195.685,pop
223,198600,0,0.682,0.894,-1.73,0.0727,0.0381,0.0,0.416,0.845,95.992,pop
228,207186,0,0.683,0.722,-4.039,0.0358,0.0243,4.2e-05,0.35,0.854,95.012,pop
230,259773,0,0.574,0.691,-5.103,0.035,0.0826,1.65e-05,0.149,0.195,91.969,pop
238,227866,0,0.7,0.72,-6.061,0.0261,0.285,0.0,0.0845,0.654,106.986,pop
239,298853,0,0.64,0.889,-3.073,0.322,0.107,0.0,0.339,0.436,99.931,pop
244,237359,0,0.786,0.614,-6.554,0.0574,0.00616,0.0,0.049,0.742,103.887,pop
251,318213,1,0.64,0.59,-7.442,0.32,0.252,0.0,0.665,0.519,83.133,pop
254,233666,0,0.368,0.426,-8.049,0.0277,0.255,5.39e-06,0.108,0.208,106.52,pop
256,201480,0,0.783,0.726,-8.718,0.106,0.0903,2.53e-06,0.363,0.784,148.062,pop
260,283626,0,0.853,0.811,-4.927,0.0646,0.0439,0.000307,0.0703,0.9,114.964,pop
262,206466,0,0.519,0.874,-5.122,0.034,0.0524,0.0,0.243,0.572,96.072,pop
263,297840,1,0.908,0.758,-4.753,0.174,0.0687,0.0,0.0783,0.87,148.015,hip hop
265,251280,0,0.542,0.589,-6.813,0.0284,0.246,0.0,0.188,0.336,133.838,pop
266,192533,0,0.802,0.903,-3.267,0.046,0.0011,0.0,0.173,0.96,128.93,pop
268,161240,0,0.838,0.764,-5.076,0.0586,0.0862,0.000122,0.0906,0.924,133.592,pop
276,204000,0,0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,pop
277,233600,0,0.571,0.953,-5.601,0.0548,0.0011,0.000606,0.226,0.601,137.965,pop
278,231066,0,0.534,0.543,-6.857,0.0245,0.579,0.0,0.112,0.418,78.996,pop
282,206093,0,0.783,0.649,-4.127,0.0322,0.0209,0.00482,0.067,0.665,103.997,pop
283,253600,0,0.745,0.807,-5.191,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,pop
294,257026,0,0.688,0.538,-7.608,0.0292,0.504,0.0,0.111,0.27,119.998,pop
299,210693,0,0.624,0.85,-4.754,0.0756,0.00234,0.0,0.0621,0.615,98.525,pop
302,322226,1,0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip hop
308,214440,1,0.527,0.834,-5.767,0.0474,0.0411,0.00599,0.105,0.381,179.92,pop
313,205560,1,0.759,0.678,-5.148,0.314,0.23,0.0,0.15,0.327,89.64,hip hop
315,215480,0,0.801,0.645,-6.93,0.0356,0.0457,0.0,0.0357,0.824,110.01,pop
326,223773,0,0.804,0.836,-6.635,0.089,0.32,0.0,0.213,0.85,120.046,pop
327,210066,0,0.564,0.6,-6.814,0.0305,0.183,2.19e-06,0.38,0.442,78.955,pop
328,248546,0,0.581,0.747,-6.682,0.0283,0.0365,1.69e-06,0.193,0.514,146.301,pop
329,267266,0,0.892,0.714,-6.055,0.141,0.201,0.000234,0.0521,0.817,100.972,pop
334,255266,0,0.859,0.658,-4.481,0.192,0.0326,0.00181,0.0651,0.538,98.989,pop
336,222400,0,0.6,0.736,-6.228,0.0329,0.325,0.0,0.137,0.848,158.108,pop
344,164506,1,0.649,0.713,-6.488,0.295,0.000787,0.0,0.318,0.629,101.129,hip hop
350,339546,1,0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,hip hop
358,245960,0,0.435,0.92,-1.357,0.201,0.235,0.000353,0.552,0.45,188.899,pop
366,253720,0,0.837,0.885,-3.914,0.182,0.103,0.0,0.0666,0.694,95.313,hip hop
369,288333,0,0.624,0.654,-6.582,0.183,0.577,0.0,0.104,0.564,73.898,pop
370,199320,0,0.447,0.636,-5.08,0.0278,0.254,9.25e-05,0.11,0.376,105.678,pop
373,281240,1,0.714,0.862,-5.531,0.286,0.0305,0.0,0.0884,0.887,92.849,hip hop
378,181826,0,0.747,0.904,-2.623,0.0803,0.046,0.106,0.203,0.846,118.877,pop
384,240040,0,0.512,0.525,-6.823,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop
385,267933,1,0.758,0.957,-2.281,0.0357,0.039,0.0,0.133,0.966,111.121,hip hop
394,257026,0,0.688,0.538,-7.608,0.0292,0.504,0.0,0.111,0.27,119.998,pop
398,223066,0,0.457,0.406,-7.462,0.0291,0.08,0.0,0.117,0.208,151.95,pop
399,214733,0,0.641,0.445,-8.674,0.0368,0.145,0.0,0.108,0.383,81.931,pop
401,206200,0,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051,pop
402,198800,0,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,pop
405,257426,0,0.663,0.746,-3.567,0.0321,0.0697,0.0,0.0929,0.325,102.847,pop
408,215431,0,0.809,0.965,-3.947,0.0427,0.177,0.0,0.0577,0.672,130.103,pop
409,247426,1,0.783,0.916,-3.344,0.415,0.11,0.0,0.0746,0.695,95.321,hip hop
410,212266,0,0.598,0.868,-4.552,0.0373,0.00908,0.0,0.279,0.47,99.848,pop
418,235066,1,0.818,0.579,-4.475,0.101,0.023,0.0,0.107,0.354,89.987,pop
421,257333,0,0.833,0.515,-5.0,0.0462,0.347,0.00156,0.116,0.4,97.007,pop
429,213893,0,0.749,0.938,-4.423,0.118,0.0127,1.96e-06,0.103,0.619,111.014,pop
433,245173,1,0.779,0.655,-7.147,0.318,0.0319,2.63e-06,0.339,0.645,163.971,hip hop
435,212413,0,0.348,0.907,-3.66,0.0497,0.000516,0.0,0.161,0.177,185.406,pop
